#,id,date_time,open,close,low,high,volume,pair_id
1,10364995,2015-08-01 07:00:00.000000,284.00000001,279.84502254,275.7245078,284.00000001,301.37639242,83
2,10364996,2015-08-02 07:00:00.000000,280,286.438075,280,286.438075,106.5638591,83
3,10364997,2015-08-03 07:00:00.000000,285.4383,288.96564431,284.28627499,288.96564431,75.70679403,83
4,10364998,2015-08-04 07:00:00.000000,281.10448572,288,281.10448572,288,11.94721831,83
5,10364999,2015-08-05 07:00:00.000000,288.19999998,287.5698,279.79331405,288.965425,9.29752713,83
6,10365000,2015-08-06 07:00:00.000000,279.79331405,283.738175,275.637475,283.738175,167.08972647,83
7,10365001,2015-08-07 07:00:00.000000,277.22849063,275.9225,275.9225,277.22849063,62.18237138,83
8,10365002,2015-08-08 07:00:00.000000,280.99991008,263,262.64762661,282.235975,1032.69471792,83
9,10365003,2015-08-09 07:00:00.000000,263,268.86343705,262.101,269.75811042,410.00762714,83
10,10365004,2015-08-10 07:00:00.000000,266.21932357,266.21932357,262.1,266.21932357,9.52216239,83
11,10365005,2015-08-11 07:00:00.000000,266.21932357,269.25604587,261.60615343,269.25604587,247.49436684,83
12,10365006,2015-08-12 07:00:00.000000,269.25604587,265.413175,263.32859493,275.6263664,682.18727975,83
13,10365007,2015-08-13 07:00:00.000000,263.39255361,263,260,269.87728091,838.98645622,83
14,10365008,2015-08-14 07:00:00.000000,260.143425,265,255,265,556.22575402,83
15,10365009,2015-08-15 07:00:00.000000,265,258.27685,258.27685,267,147.73850257,83
16,10365010,2015-08-16 07:00:00.000000,257.89777067,256.76429583,256.76429583,264.818575,247.33524901,83
17,10365011,2015-08-17 07:00:00.000000,257.00000516,262.37255219,257.00000516,263.884775,115.70648577,83
18,10365012,2015-08-18 07:00:00.000000,262.38059156,178.7193125,174.57013394,262.38059156,2979.91680061,83
19,10365013,2015-08-19 07:00:00.000000,191.29999999,226.99999929,191.29999999,241.876825,5214.46440764,83
20,10365014,2015-08-20 07:00:00.000000,226.99999785,234,226.99999785,241.75778125,1900.49598303,83
21,10365015,2015-08-21 07:00:00.000000,229.65637733,233.13000186,228,242.0500026,2623.03047514,83
22,10365016,2015-08-22 07:00:00.000000,233.13000271,230.25950309,225,285,1097.99004162,83
23,10365017,2015-08-23 07:00:00.000000,230.25950309,228.4526468,226.43859881,236.14959975,369.92537078,83
24,10365018,2015-08-24 07:00:00.000000,228.4526468,211,201.45752417,236.99999909,6440.35548189,83
25,10365019,2015-08-25 07:00:00.000000,214.965,219.99000003,197.57400001,219.99000003,5064.27486289,83
26,10365020,2015-08-26 07:00:00.000000,219.99000003,227.97999999,216.15825722,227.99000003,1337.59870511,83
27,10365021,2015-08-27 07:00:00.000000,222.00000001,219.99999999,208.3,229.19941841,1607.02008258,83
28,10365022,2015-08-28 07:00:00.000000,215.4287159,230.14,212.183456,233.99000003,306.69311794,83
29,10365023,2015-08-29 07:00:00.000000,232,235,220,235,925.51764615,83
30,10365024,2015-08-30 07:00:00.000000,226.90000001,215.025,211.01100212,226.90000001,973.41945106,83
31,10365025,2015-08-31 07:00:00.000000,215.00000001,225.04000001,211,226.9,624.09319036,83
32,10365026,2015-09-01 07:00:00.000000,226.11789796,223.94469998,223.32478814,229.5,995.59920308,83
33,10365027,2015-09-02 07:00:00.000000,226,226.00000001,222.28830581,232.99999999,391.79088737,83
34,10365028,2015-09-03 07:00:00.000000,226.00000001,231.00000001,224.35971855,232.67213551,163.11990688,83
35,10365029,2015-09-04 07:00:00.000000,225.00000001,231.00000001,225.00000001,231.00000001,272.20435639,83
36,10365030,2015-09-05 07:00:00.000000,231.00000001,233.00000001,226.54264212,238.99000003,1058.47759632,83
37,10365031,2015-09-06 07:00:00.000000,233.00000001,237.7529,233.00000001,243.22733484,746.77449908,83
38,10365032,2015-09-07 07:00:00.000000,241.4,244.9,236.5,245,1928.74056669,83
39,10365033,2015-09-08 07:00:00.000000,243.5,239.90000002,239.90000002,243.5,27.7990218,83
40,10365034,2015-09-09 07:00:00.000000,242.99999999,240.59999943,236.5,243,772.01918011,83
41,10365035,2015-09-10 07:00:00.000000,240.59999866,243.83099999,236.50000001,243.83099999,172.41081462,83
42,10365036,2015-09-11 07:00:00.000000,236.60000033,238.70000001,236.37099997,255.00000001,1385.38482169,83
